Date,AAPL,DX-Y.NYB,HSI,QQQ,XLE,XLF,XLK,XLP,XLU,XLV,^FTSE
2012-09-20,21.329633712768555,79.41000366210938,20590.900390625,63.54398727416992,50.54496765136719,10.550688743591309,26.97281837463379,27.333059310913086,25.239246368408203,33.7270393371582,5854.60009765625
2012-09-21,21.372060775756836,79.33000183105469,7200.0,63.56211853027344,50.60188293457031,10.51481819152832,27.007104873657227,27.208213806152344,25.253965377807617,33.85251998901367,5852.60009765625
2012-09-24,21.088159561157227,79.5199966430664,20694.69921875,63.19062042236328,50.34440994262695,10.521461486816406,26.835681915283203,27.29900360107422,25.492280960083008,33.94518280029297,5838.7998046875
2012-09-25,20.561559677124023,79.55000305175781,20698.69921875,62.3026237487793,49.795570373535156,10.362043380737305,26.45856285095215,27.109851837158203,25.436206817626953,33.9199104309082,5859.7001953125
2012-09-26,20.30634880065918,79.88999938964844,20527.69921875,61.79524230957031,49.321250915527344,10.295619010925293,26.270004272460938,27.109851837158203,25.492280960083008,33.74303436279297,5768.10009765625
2012-09-27,20.799053192138672,79.55000305175781,20762.30078125,62.64696502685547,49.9920768737793,10.388615608215332,26.612836837768555,27.20065689086914,25.387144088745117,33.936767578125,5779.39990234375
2012-09-28,20.364957809448242,79.94000244140625,7500.0,62.13045120239258,49.75493240356445,10.355401039123535,26.424283981323242,27.109851837158203,25.50629425048828,33.7935676574707,5742.10009765625
2012-10-01,20.12959098815918,79.81999969482422,7500.0,62.03986358642578,50.0056266784668,10.401899337768555,26.364286422729492,27.283870697021484,25.387144088745117,33.99571990966797,5820.5
2012-10-02,20.18820571899414,79.73999786376953,7500.0,62.221099853515625,50.093711853027344,10.421825408935547,26.3985652923584,27.30657196044922,25.52031898498535,34.147342681884766,5809.5
2012-10-03,20.49775505065918,79.97000122070312,20888.30078125,62.61976623535156,49.47711944580078,10.51481819152832,26.535703659057617,27.389812469482422,25.64647674560547,34.433719635009766,5825.7998046875
2012-10-04,20.35579490661621,79.3499984741211,7800.0,62.837223052978516,49.97175216674805,10.674235343933105,26.612836837768555,27.518434524536133,25.793664932250977,34.64430618286133,5827.7998046875
2012-10-05,19.922006607055664,79.33999633789062,7500.0,62.50199890136719,49.8565559387207,10.667591094970703,26.475709915161133,27.62435531616211,25.751617431640625,34.677982330322266,5871.0
2012-10-08,19.481796264648438,79.54000091552734,7200.0,61.9311408996582,49.93784713745117,10.660948753356934,26.201435089111328,27.541128158569336,25.793664932250977,34.6527099609375,5841.7001953125
2012-10-09,19.41097640991211,79.94999694824219,7200.0,60.94352340698242,50.0056266784668,10.594528198242188,25.867172241210938,27.27631187438965,25.744604110717773,34.231571197509766,5810.2998046875
2012-10-10,19.56543731689453,79.91999816894531,7200.0,60.63543701171875,49.070556640625,10.587885856628418,25.76431655883789,27.16281509399414,25.70254898071289,33.9788703918457,5776.7001953125
2012-10-11,19.17437744140625,79.77999877929688,20999.099609375,60.445152282714844,49.43644714355469,10.647664070129395,25.66146469116211,27.102285385131836,25.730588912963867,34.004146575927734,5829.7998046875
2012-10-12,19.223527908325195,79.69000244140625,7400.0,60.41796875,49.16542434692383,10.501533508300781,25.644323348999023,27.124988555908203,25.583393096923828,33.95359802246094,5793.2998046875
2012-10-15,19.377696990966797,79.73999786376953,21148.19921875,60.8619384765625,49.41611862182617,10.621094703674316,25.772891998291016,27.30657196044922,25.688539505004883,34.4421501159668,5805.60009765625
2012-10-16,19.83652687072754,79.37000274658203,21207.099609375,61.722755432128906,50.202125549316406,10.687520027160645,26.124296188354492,27.374666213989258,25.786664962768555,34.812767028808594,5870.5
2012-10-17,19.678388595581055,79.0199966430664,21416.599609375,61.68650436401367,50.8322868347168,10.827008247375488,25.987159729003906,27.4957275390625,26.102073669433594,34.812767028808594,5910.89990234375
